,date,negatives,positives,ratio,negatives (t-1),positives (t-1),ratio (t-1),negatives (t-2),positives (t-2),ratio (t-2),label
164,2018-09-06,5,6,0.5454545454545454,2.0,1.0,0.3333333333333333,12.0,1.0,0.07692307692307693,0
165,2018-09-05,4,2,0.3333333333333333,5.0,6.0,0.5454545454545454,2.0,1.0,0.3333333333333333,1
166,2018-09-04,5,6,0.5454545454545454,4.0,2.0,0.3333333333333333,5.0,6.0,0.5454545454545454,1
167,2018-08-31,6,3,0.3333333333333333,5.0,6.0,0.5454545454545454,4.0,2.0,0.3333333333333333,0
168,2018-08-30,9,0,0.0,6.0,3.0,0.3333333333333333,5.0,6.0,0.5454545454545454,0
169,2018-08-29,4,2,0.3333333333333333,9.0,0.0,0.0,6.0,3.0,0.3333333333333333,0
170,2018-08-28,5,2,0.2857142857142857,4.0,2.0,0.3333333333333333,9.0,0.0,0.0,1
171,2018-08-27,1,1,0.5,5.0,2.0,0.2857142857142857,4.0,2.0,0.3333333333333333,1
172,2018-08-24,11,1,0.08333333333333333,1.0,1.0,0.5,5.0,2.0,0.2857142857142857,1
173,2018-08-23,5,2,0.2857142857142857,11.0,1.0,0.08333333333333333,1.0,1.0,0.5,1
174,2018-08-22,5,2,0.2857142857142857,5.0,2.0,0.2857142857142857,11.0,1.0,0.08333333333333333,0
175,2018-08-21,7,2,0.2222222222222222,5.0,2.0,0.2857142857142857,5.0,2.0,0.2857142857142857,0
176,2018-08-20,12,0,0.0,7.0,2.0,0.2222222222222222,5.0,2.0,0.2857142857142857,1
177,2018-08-17,17,2,0.10526315789473684,12.0,0.0,0.0,7.0,2.0,0.2222222222222222,1
178,2018-08-16,20,7,0.25925925925925924,17.0,2.0,0.10526315789473684,12.0,0.0,0.0,1
179,2018-08-15,10,3,0.23076923076923078,20.0,7.0,0.25925925925925924,17.0,2.0,0.10526315789473684,1
180,2018-08-14,3,1,0.25,10.0,3.0,0.23076923076923078,20.0,7.0,0.25925925925925924,0
181,2018-08-13,6,0,0.0,3.0,1.0,0.25,10.0,3.0,0.23076923076923078,1
182,2018-08-10,7,5,0.4166666666666667,6.0,0.0,0.0,3.0,1.0,0.25,0
183,2018-08-09,5,3,0.375,7.0,5.0,0.4166666666666667,6.0,0.0,0.0,0
184,2018-08-08,14,3,0.17647058823529413,5.0,3.0,0.375,7.0,5.0,0.4166666666666667,0
185,2018-08-07,5,4,0.4444444444444444,14.0,3.0,0.17647058823529413,5.0,3.0,0.375,0
186,2018-08-06,6,1,0.14285714285714285,5.0,4.0,0.4444444444444444,14.0,3.0,0.17647058823529413,1
187,2018-08-03,4,2,0.3333333333333333,6.0,1.0,0.14285714285714285,5.0,4.0,0.4444444444444444,1
188,2018-08-02,3,4,0.5714285714285714,4.0,2.0,0.3333333333333333,6.0,1.0,0.14285714285714285,1
189,2018-08-01,7,3,0.3,3.0,4.0,0.5714285714285714,4.0,2.0,0.3333333333333333,0
190,2018-07-31,7,2,0.2222222222222222,7.0,3.0,0.3,3.0,4.0,0.5714285714285714,0
191,2018-07-30,1,2,0.6666666666666666,7.0,2.0,0.2222222222222222,7.0,3.0,0.3,1
192,2018-07-27,5,2,0.2857142857142857,1.0,2.0,0.6666666666666666,7.0,2.0,0.2222222222222222,0
193,2018-07-26,8,2,0.2,5.0,2.0,0.2857142857142857,1.0,2.0,0.6666666666666666,0
194,2018-07-25,6,2,0.25,8.0,2.0,0.2,5.0,2.0,0.2857142857142857,1
195,2018-07-24,11,7,0.3888888888888889,6.0,2.0,0.25,8.0,2.0,0.2,1
196,2018-07-23,4,0,0.0,11.0,7.0,0.3888888888888889,6.0,2.0,0.25,1
197,2018-07-20,14,3,0.17647058823529413,4.0,0.0,0.0,11.0,7.0,0.3888888888888889,0
198,2018-07-19,6,4,0.4,14.0,3.0,0.17647058823529413,4.0,0.0,0.0,0
199,2018-07-18,9,6,0.4,6.0,4.0,0.4,14.0,3.0,0.17647058823529413,0
200,2018-07-17,3,1,0.25,9.0,6.0,0.4,6.0,4.0,0.4,1
201,2018-07-16,7,1,0.125,3.0,1.0,0.25,9.0,6.0,0.4,1
202,2018-07-13,10,1,0.09090909090909091,7.0,1.0,0.125,3.0,1.0,0.25,1
203,2018-07-12,12,7,0.3684210526315789,10.0,1.0,0.09090909090909091,7.0,1.0,0.125,1
204,2018-07-11,24,8,0.25,12.0,7.0,0.3684210526315789,10.0,1.0,0.09090909090909091,1
205,2018-07-10,17,4,0.19047619047619047,24.0,8.0,0.25,12.0,7.0,0.3684210526315789,0
206,2018-07-09,21,5,0.19230769230769232,17.0,4.0,0.19047619047619047,24.0,8.0,0.25,1
207,2018-07-06,11,7,0.3888888888888889,21.0,5.0,0.19230769230769232,17.0,4.0,0.19047619047619047,1
208,2018-07-05,29,2,0.06451612903225806,11.0,7.0,0.3888888888888889,21.0,5.0,0.19230769230769232,1
209,2018-07-03,30,12,0.2857142857142857,29.0,2.0,0.06451612903225806,11.0,7.0,0.3888888888888889,1
210,2018-07-02,16,12,0.42857142857142855,30.0,12.0,0.2857142857142857,29.0,2.0,0.06451612903225806,0
211,2018-06-29,49,15,0.234375,16.0,12.0,0.42857142857142855,30.0,12.0,0.2857142857142857,1
212,2018-06-28,35,20,0.36363636363636365,49.0,15.0,0.234375,16.0,12.0,0.42857142857142855,1
213,2018-06-27,31,11,0.2619047619047619,35.0,20.0,0.36363636363636365,49.0,15.0,0.234375,1
214,2018-06-26,14,7,0.3333333333333333,31.0,11.0,0.2619047619047619,35.0,20.0,0.36363636363636365,0
215,2018-06-25,31,10,0.24390243902439024,14.0,7.0,0.3333333333333333,31.0,11.0,0.2619047619047619,1
216,2018-06-22,10,3,0.23076923076923078,31.0,10.0,0.24390243902439024,14.0,7.0,0.3333333333333333,0
217,2018-06-21,25,8,0.24242424242424243,10.0,3.0,0.23076923076923078,31.0,10.0,0.24390243902439024,1
218,2018-06-20,8,2,0.2,25.0,8.0,0.24242424242424243,10.0,3.0,0.23076923076923078,0
219,2018-06-19,9,4,0.3076923076923077,8.0,2.0,0.2,25.0,8.0,0.24242424242424243,0
220,2018-06-18,8,2,0.2,9.0,4.0,0.3076923076923077,8.0,2.0,0.2,0
221,2018-06-15,15,10,0.4,8.0,2.0,0.2,9.0,4.0,0.3076923076923077,0
222,2018-06-14,6,2,0.25,15.0,10.0,0.4,8.0,2.0,0.2,0
223,2018-06-13,25,8,0.24242424242424243,6.0,2.0,0.25,15.0,10.0,0.4,0
224,2018-06-12,36,18,0.3333333333333333,25.0,8.0,0.24242424242424243,6.0,2.0,0.25,0
225,2018-06-11,24,12,0.3333333333333333,36.0,18.0,0.3333333333333333,25.0,8.0,0.24242424242424243,0
226,2018-06-08,22,11,0.3333333333333333,24.0,12.0,0.3333333333333333,36.0,18.0,0.3333333333333333,1
227,2018-06-07,13,5,0.2777777777777778,22.0,11.0,0.3333333333333333,24.0,12.0,0.3333333333333333,1
228,2018-06-06,12,3,0.2,13.0,5.0,0.2777777777777778,22.0,11.0,0.3333333333333333,1
229,2018-06-05,10,5,0.3333333333333333,12.0,3.0,0.2,13.0,5.0,0.2777777777777778,1
230,2018-06-04,8,3,0.2727272727272727,10.0,5.0,0.3333333333333333,12.0,3.0,0.2,0
