,comment,date,+/-
169,"Ouch, what on earth happened here? I was expecting 420 by march. I guess its a buy opportunity. What a shame that Tesla doesnt garner more support from the media and the government. Its Americas last chance against asian cars, Chinas in particular, that wi...Show more
","Apr 30, 2019 4:51PM ET",
170,"We purchased Tesla’s stock five years ago. Tesla’s sales have since increased from $3.7 billion per year to $21 billion in 2018 and could reach an estimated $28 billion-$30 billion this year. Tesla’s share price has increased from $208 per share to $280 pe...Show more
","Apr 30, 2019 4:48PM ET",
171,"long walking, short tesla
","Apr 30, 2019 4:15PM ET",
172,"that's why I walk work, diversification
","Apr 30, 2019 4:15PM ET",
173,"VW egolf outsold Tesla for April in Norway. Jaguar too. But sales don't matter, says the fan boys.
","Apr 30, 2019 1:28PM ET",
174,"An analyst argued that gross margins on the Tesla Model 3 would have been 15%, not 20%, without credits. Tesla stock has fallen to its lowest level in two years.
","Apr 30, 2019 1:24PM ET",
175,"Investing / StocksIs Elon Musk Mortgaging Tesla Shares Against a Potential Margin Call
","Apr 30, 2019 12:07PM ET",
176,"it is now official. Tesla sales are down -80% in April in Norway. Jaguar iPace sells 316  cars, ten times more than Model S.
","Apr 30, 2019 11:55AM ET",
177,"Morgan is a JOKE, Veymo is 150 Billion $ but Tesla self drive is $7.5 Billion. Where is SEC????
","Apr 30, 2019 10:56AM ET",
178,"People in here are the most overestimators :)))) thats really funny and thats why the market is inefficient !!!
","Apr 30, 2019 10:47AM ET",
179,"A Chinese ride-hailing company says many of the Teslas it bought as fleet vehicles have had major electromechanical issues. The company is called iUNICORN (also known as Shenma Zhuanche) and it originally purchased 278 Teslas between 2016 and 2017. It says...Show more
","Apr 30, 2019 10:42AM ET",
180,"trend is your friend, and the trend is clearly down, 125 by November!
","Apr 30, 2019 10:38AM ET",
181,"916 millions in gov money! wow !
","Apr 30, 2019 10:16AM ET",
182,"Closed long...will Buy Below 222
","Apr 30, 2019 10:15AM ET",
183,"How likely we can buy at 242 and sell at 246?
","Apr 30, 2019 10:04AM ET",
184,"I love listening to all the professionals in the comment section lol
","Apr 30, 2019 9:54AM ET",
185,"172
","Apr 30, 2019 9:51AM ET",
186,"everyone think tesla is better in everything the autopilot the battery and etc .my only concern is the ugly design and the price.this is way demand in going down.
","Apr 30, 2019 9:46AM ET",
187,"Gang, according to my calculations for free cash flow, Tesla should be trading around $180-200 total!  It's way overpriced.  Additionally Musk's margin loan for  $13.4 million is due and he will liquidate!  Do not buy here yet.
","Apr 30, 2019 9:42AM ET",
188,"In my little bridge in the Gulf of St. Tropez I counted 1 Model 3, 5 Model S, 5 Model X and 1 Jaguar I-Pace. Other EVs not received .... everyone draws their conclusions ...
","Apr 30, 2019 9:07AM ET",
189,"I hope today can go up until 250
","Apr 30, 2019 7:33AM ET",
190,"let's see...247 or more for today...be ready
","Apr 30, 2019 5:47AM ET",
191,"Today 239-246
","Apr 30, 2019 1:36AM ET",
192,"$212-215 tomorrow
","Apr 29, 2019 11:50PM ET",
193,";) we have 40.000 new VINs today ;)
","Apr 29, 2019 9:41PM ET",
194,"Thats a 100% win for Elon &amp; a humiliation for the SEC.. . They pulled back on all demands.. . Elon has to comply with the rules Tesla sets, which are set by Elon &amp; that if he does announce something that has not been released before he needs to seek approv...Show more
","Apr 29, 2019 9:38PM ET",
195,"My 2019 target used to be $420, now it is $500. Jump will be bigger than this artificial dip.
","Apr 29, 2019 9:23PM ET",
196,"Youtube: . Ark Invest's Cathie Woods defends her Tesla to $4,000 call
","Apr 29, 2019 9:20PM ET",
197,"how much you think Tesla will go up.
","Apr 29, 2019 8:57PM ET",
198,"227.00 new price. Limit orders in place
","Apr 29, 2019 8:45PM ET",
199,"be ready for tomorrow :)
","Apr 29, 2019 6:54PM ET",
200,"https://wolfstreet.com/2019/04/29/tesla-discloses-record-pollution-credits-for-q1-without-them-it-would-have-lost-918-million-and-bled-1-14-billion-in-cash/
","Apr 29, 2019 4:12PM ET",
201,"$243.2
","Apr 29, 2019 3:22PM ET",
202,"Tesla's 10-Q is out. Looks like they withheld more relevant information from the earnings call, and that their $700M loss should have been closer to $1B, if not for EVEN MORE tax month being thrown at them. Since I'm sure every Bull has read the 10-Q by no...Show more
","Apr 29, 2019 2:57PM ET",
203,"How would you trade Tesla?
","Apr 29, 2019 2:55PM ET",
204,"Tesla needs $2.5 billion in fresh capital
","Apr 29, 2019 2:54PM ET",
205,"it would seek alternative services of financing
","Apr 29, 2019 2:50PM ET",
206,"Next stop 275! Come join the train before its too late?
","Apr 29, 2019 2:47PM ET",
207,"so gar it is noy a big short covering rally. looks like it is tapering off.
","Apr 29, 2019 1:54PM ET",
208,"and everything is right with my portfolio again.  Thanks Elon!
","Apr 29, 2019 1:29PM ET",
209,"260 by the first week of May
","Apr 29, 2019 1:19PM ET",
210,"back to 237 and then up
","Apr 29, 2019 12:33PM ET",
211,"quite cheap... if today end green upper 2% then may go up this week...
","Apr 29, 2019 12:33PM ET",
212,"https://amp.businessinsider.com/tesla-criticized-in-times-square-billboards-by-shenma-zhuanche-2019-4
","Apr 29, 2019 12:22PM ET",
213,"Strong sell?
","Apr 29, 2019 12:13PM ET",
214,"I bet it goes up to retest the long-term trend line around 260 this week.
","Apr 29, 2019 11:16AM ET",
215,"i love the fact they still pretend .we don't need the money!!! lol the burn a bilion in 4 months
","Apr 29, 2019 10:32AM ET",
216,"I don’t mind the numbers of Tesla. I mind the idea, vision, mission of Tesla. I mind Elon Musk. I am allergic for what the media does publish, about companies like Tesla. Tesla, SpaceX, SolarCity.. all those company, are far ahead. They are and will burn t...Show more
","Apr 29, 2019 10:19AM ET",
217,"bulls are feverly fighting to trigger a short covering rally, yet they seem to be a littl bit exhausted. numbers from Norway are still horrific for Tesla. just 26 Model S have been sold until April 29. this is only rank 17.
","Apr 29, 2019 10:08AM ET",
218,"Clearly bottomed out, wait and watch.
","Apr 29, 2019 9:55AM ET",
219,"they waited to long to ask for money big mistake
","Apr 29, 2019 9:44AM ET",
220,"i think the stop is at $175
","Apr 29, 2019 9:42AM ET",
221,"any attempt by the bulls is met by huge (10000 per tick) selling bids. volume is gigantic for the first five minutes. over the last three trading days over a third of shares have changed hands. there is also a huge bearish engulfing for the five minute cha...Show more
","Apr 29, 2019 9:41AM ET",
222,"if it breaks $230 real trouble for this stock!
","Apr 29, 2019 9:36AM ET",
223,"Pre-market is inching up a bit, I guess today not too much movement.... my prediction it will inch up just a bit up to 1%, took a LONG position with a stop-loss at 1% as well....
","Apr 29, 2019 9:19AM ET",
224,"If this does not make it clear Elon Mask knows what he is talking about I dont know what does.https://gizmodo.com/elon-musk-was-right-cheap-cameras-could-replace-lidar-1834266742
","Apr 29, 2019 8:53AM ET",
225,"https://finance.yahoo.com/m/e0f7c9bf-48d2-3e59-8c92-769d153b624c/tesla-%27may-choose-to-seek.html?.tsrc=rss
","Apr 29, 2019 7:30AM ET",
226,"200 today
","Apr 29, 2019 6:36AM ET",
227,"time to go up...today's market moves will be very interesting
","Apr 29, 2019 4:47AM ET",
228,"This week
","Apr 29, 2019 4:32AM ET",
229,"not holding or even fighting at $240 makes me thing $200 happening....should've been support at 240...
","Apr 28, 2019 2:44PM ET",
230,"Elon Musk on Aug. 1, 2018  ""In the second half of 2018, we expect, for the first time in our history, to become both sustainably profitable and cash-flow positive."". . Elon Musk on Oct. 24, 2018  ""We expect to again have positive net income and cash flow i...Show more
","Apr 28, 2019 2:30PM ET",
